domain,counts
house.gov,36733901
twitter.com,21425656
wikipedia.org,20333607
ballotpedia.org,18266482
govtrack.us,16055632
facebook.com,15500567
congress.gov,14639277
politico.com,2298576
texastribune.org,1969511
youtube.com,1774337
nytimes.com,1732446
gop.gov,1576475
thehill.com,1301749
washingtonpost.com,1150587
cnn.com,1036561
rollcall.com,990689
opensecrets.org,916624
foxnews.com,815193
cq.com,813149
newsweek.com,790997
cbslocal.com,740452
c-span.org,601548
floridapolitics.com,571566
patch.com,560629
apnews.com,556573
nbcnews.com,483528
latimes.com,441527
votesmart.org,384364
insidernj.com,342351
wsj.com,337752
yahoo.com,336468
law360.com,314037
marijuanamoment.net,310080
chicagotribune.com,308189
azcentral.com,304073
houstonchronicle.com,301034
go.com,292720
spectrumnews1.com,291075
dallasnews.com,282084
nj.com,274805
cleveland.com,260795
ocregister.com,244281
eenews.net,237606
npr.org,236505
detroitnews.com,235436
suntimes.com,234806
alreporter.com,227135
maryland.gov,225150
startribune.com,220233
mlive.com,214131
spectrumlocalnews.com,209321
cpr.org,208895
theintercept.com,206461
cnbc.com,204503
jewishinsider.com,203713
nypost.com,201202
tampabay.com,195811
usatoday.com,192984
thenevadaindependent.com,187939
theadvocate.com,184222
inquirer.com,181879
cbsnews.com,181770
businessinsider.com,177381
billtrack50.com,173230
kansascity.com,172624
jsonline.com,172072
post-gazette.com,163776
newsobserver.com,161739
newsday.com,161634
propublica.org,161229
ajc.com,160606
postandcourier.com,159931
forbes.com,157915
courthousenews.com,157280
usnews.com,157166
abc17news.com,156947
civilbeat.org,145506
nydailynews.com,142399
dailyherald.com,141552
cityandstateny.com,139069
statesman.com,137222
yellowhammernews.com,137178
theguardian.com,136097
coloradopolitics.com,135739
triblive.com,134421
desmoinesregister.com,133274
fresnobee.com,132321
syracuse.com,132291
axios.com,128928
myfloridahouse.gov,126114
lancasteronline.com,125014
omaha.com,123922
trackbill.com,123448
azpbs.org,122875
masslive.com,122875
georgiarecorder.com,122693
bgov.com,122494
thestate.com,121666
time.com,119961
sltrib.com,119788
biography.com,119706
dispatch.com,118811
gazettextra.com,118439
oklahoman.com,117774
loc.gov,115989
deseret.com,115774
timesunion.com,113309
newjerseyglobe.com,113248
wfmz.com,112985
sfchronicle.com,111893
bizjournals.com,111588
minnpost.com,110926
bostonglobe.com,109474
baseball-reference.com,109188
reviewjournal.com,108834
thetexan.news,108479
radio.com,108363
state.pa.us,107370
tapinto.net,106875
wbur.org,105221
goldrushcam.com,105132
baltimoresun.com,105067
jewishvirtuallibrary.org,104819
foxwilmington.com,104660
baynews9.com,104328
bostonherald.com,103023
nextgov.com,101297
sun-sentinel.com,99012
11alive.com,98272
foxbusiness.com,96686
denverpost.com,95620
bloomberglaw.com,94934
ctinsider.com,94596
miamiherald.com,94245
vox.com,94012
msnbc.com,93811
erienewsnow.com,93274
mcall.com,92976
jimbanks.us,92755
nola.com,92612
bigrapidsnews.com,92461
wbtv.com,90511
orlandosentinel.com,90506
buzzfeednews.com,90324
ktvz.com,90243
jenniferwexton.com,90118
lasvegassun.com,89838
mprnews.org,89506
wamc.org,89378
mlb.com,89057
auburnpub.com,88431
instagram.com,88176
13newsnow.com,87967
fox8.com,87787
spokesman.com,87665
michiganadvance.com,87213
suozziforcongress.com,87046
bozemandailychronicle.com,86792
wtvm.com,86335
wright4congress.com,85895
kpbs.org,85695
ny1.com,85679
1011now.com,84832
palmbeachpost.com,83911
witn.com,82864
stephaniemurphyforcongress.com,82078
news4jax.com,81898
bangordailynews.com,81701
espn.com,81006
nysenate.gov,80918
cbssports.com,79783
expressnews.com,79573
michaelwaltz.com,79259
richmond.com,79155
govinfo.gov,78705
wfmynews2.com,78390
paynejr4congress.com,78216
ctmirror.org,77760
ideastream.org,77755
wshu.org,77597
abc10.com,77116
ttnews.com,77009
charlotteobserver.com,76730
tulsaworld.com,76520
thecentersquare.com,76516
bloomberg.com,75376
abc7news.com,75254
opb.org,75030
seattletimes.com,74982
ncleg.gov,74940
adamsmith.org,74805
abc30.com,74380
thedailybeast.com,74276
marylandmatters.org,73324
indystar.com,73098
pennlive.com,72901
stripes.com,72037
xochforcongress.com,71795
courant.com,71757
washingtonexaminer.com,71550
kbtx.com,71527
kentucky.com,71485
wmur.com,71395
modbee.com,71389
electsmuckerpa.com,71324
netnebraska.org,71111
khn.org,71080
ketv.com,71058
fedscoop.com,70763
castenforcongress.com,70724
timesfreepress.com,70551
arkansasonline.com,70455
abc6onyourside.com,70447
cbs4indy.com,70393
republicanleader.gov,70392
susieleeforcongress.com,70326
wdam.com,69494
nymag.com,69463
houstonpublicmedia.org,69279
heraldextra.com,69192
britannica.com,68995
toledoblade.com,68938
courier-journal.com,68775
gazette.com,68582
govexec.com,68577
wildforcongress.com,68366
kansas.com,68335
kshb.com,68313
wbrc.com,68021
riograndeguardian.com,67943
abc7chicago.com,67643
marketwatch.com,67434
agri-pulse.com,67280
sanjosespotlight.com,67044
nwaonline.com,66855
heraldonline.com,66478
reuters.com,66061
voanews.com,65488
broadbandbreakfast.com,65419
ktar.com,65404
unionleader.com,65284
wabe.org,64510
kiro7.com,64480
azmirror.com,64442
lucyforcongress.com,64123
nbcconnecticut.com,63956
pix11.com,63934
insurancenewsnet.com,63819
keranews.org,63483
almaadamsforcongress.com,63203
kcra.com,63084
tallahassee.com,63056
theherald-news.com,62965
cisnerosforcongress.com,62212
wsiltv.com,62184
ncpolicywatch.org,62094
liherald.com,61994
herald-review.com,61930
fronterasdesk.org,61605
shariceforcongress.com,61575
wftv.com,61527
fox2now.com,61369
homelandprepnews.com,61357
abc27.com,61275
al.com,61173
kwch.com,61089
chci.org,60761
jimlangevin.com,60590
bemidjipioneer.com,60538
buffalonews.com,60275
graydc.com,59902
electralphnorman.com,59556
cbs58.com,59531
cincinnati.com,59511
witf.org,59245
wibw.com,58925
wfmj.com,58918
meritalk.com,58811
greensboro.com,58573
wflx.com,58494
bethel.com,58321
star-telegram.com,58294
rollingstone.com,58240
richardhudson.org,58224
mysuburbanlife.com,58223
theroot.com,57976
actionnewsjax.com,57815
santafenewmexican.com,57468
clickondetroit.com,57382
underwoodforcongress.com,57278
healthcareitnews.com,57092
everythinglubbock.com,56685
insidenova.com,56493
nbcboston.com,56335
txdirectory.com,56261
nbc12.com,56153
investopedia.com,55989
wsls.com,55968
oregonlive.com,55721
jasoncrowforcongress.com,55679
colinallred.com,55183
sandiegouniontribune.com,55064
daytondailynews.com,54943
andykimforcongress.com,54228
northjersey.com,54138
kjzz.org,54051
koco.com,54024
nmpoliticalreport.com,54013
qctimes.com,53804
dailynews.com,53663
roanoke.com,53632
localnews8.com,53490
senate.gov,53487
freep.com,53484
chrispappas.org,53439
adamschiff.com,53340
kmov.com,53172
hollandsentinel.com,53096
congressionalsportsmen.org,53087
lizziefletcher.com,52479
morningconsult.com,52313
djournal.com,52277
dtnpf.com,52184
penncapital-star.com,51928
mynews13.com,51620
ilhanomar.com,51568
hoyerforcongress.com,51509
kcrg.com,51455
nealdunn.com,51182
wtvq.com,50900
kuow.org,50722
phillipsforcongress.org,50686
hometownsource.com,50589
fox56.com,50494
ky3.com,50463
state.nv.us,50445
tribdem.com,50396
thefencepost.com,50378
nealforcongress.com,50295
wbir.com,50089
andylevinforcongress.com,50051
bakersfield.com,49766
larsonforcongress.org,49618
theeagle.com,49444
wvmetronews.com,49431
donaldnorcrossforcongress.com,49237
miketurner.com,49221
speaker.gov,49202
wsvn.com,49175
kustoffforcongress.com,49144
noozhawk.com,49095
komu.com,49072
johnrose.com,48979
electjimbaird.com,48913
crenshawforcongress.com,48906
majorityleader.gov,48903
wyff4.com,48894
prnewswire.com,48893
kbia.org,48849
abcactionnews.com,48845
anthonybrown.com,48818
brettguthrie.com,48817
simpsonforcongress.com,48774
heraldmailmedia.com,48733
brindisiforcongress.com,48725
mikethompsonforcongress.com,48712
dwightevans.com,48669
meetrickcrawford.com,48656
fredkellerforcongress.com,48641
tribstar.com,48637
thegazette.com,48611
morgangriffithforcongress.com,48541
defazioforcongress.org,48527
bucshonforcongress.com,48457
karenbass.com,48447
katieporter.com,48438
bobgibbsforcongress.com,48426
pallonefornewjersey.com,48424
barbaraleeforcongress.org,48415
themobmuseum.org,48411
joecunninghamforcongress.com,48394
joinpaulcook.com,48385
chuckforcongress.com,48384
eliseforcongress.com,48344
standwithraul.com,48342
jimmcgovern.com,48339
clyburnforcongress.com,48332
mikeonline.com,48328
cathyforcongress.com,48328
jamieraskin.com,48327
adn.com,48327
gallegoforarizona.com,48324
voteboyle.com,48324
jerrynadler.com,48320
cicilline.com,48313
mikeforwisconsin.com,48306
chelliepingree.com,48297
stantonforarizona.com,48293
victoriaadvocate.com,48291
billfoster.com,48288
gwenmooreforcongress.com,48257
patriotsforperry.com,48253
kellyformississippi.com,48252
yarmuthforcongress.com,48249
bradyforcongress.com,48233
pocanforcongress.com,48233
calvertforcongress.com,48208
carolynmaloney.com,48204
sanfordbishop.com,48203
friendsofglennthompson.com,48192
michaelmccaul.com,48178
marktakano.com,48169
virginiafoxx.com,48162
jimmypanetta.com,48141
friendsofdonbeyer.com,48140
burchettforcongress.com,48135
donjbacon.com,48127
jahanahayes.com,48124
napolitanoforcongress.com,48115
lisabluntrochester.com,48095
garretgraves.com,48095
motherjones.com,48079
janschakowsky.org,48071
bonnieforcongress.com,48062
joecourtney.com,48057
electadam.com,48050
vickyhartzler.com,48043
mchenryforcongress.com,48022
bostforcongress.com,48022
energy.gov,48020
donaldmceachin.com,48020
joeneguseforcongress.com,48010
lambornforcongress.org,48010
palmerforalabama.com,48001
alceeforcongress.com,47994
loucorrea.com,47983
lahoodforcongress.com,47976
allmusic.com,47965
jimmygomezforcongress.com,47962
stevestivers.com,47953
bencline.com,47951
pbs.org,47951
cartwrightcongress.com,47949
bonamiciforcongress.com,47948
andrecarson.com,47948
tedlieu.com,47935
utm.edu,47922
bradsherman.com,47920
kansansformarshall.com,47919
debbiedingellforcongress.com,47904
russfulcher.com,47898
jimhagedorn.org,47898
katherineclark.org,47895
davidschweikert.com,47895
midhudsonnews.com,47895
andyharris.com,47894
michaelguest.ms,47892
drraulruiz.com,47889
brianfitzpatrick.com,47886
majoritywhip.gov,47873
buckforcolorado.com,47871
mastforcongress.com,47870
robwittman.com,47869
wtkr.com,47863
